Kraj,Regija
Štore,Savinjska
Črešnjice,Savinjska
Zgornja Selnica,Štajerska
Radlje ob Dravi,Štajerska
Bresternica,Štajerska
Verače,Savinjska
Piran,Primorska
Ambrus,Osrednjeslovenska
Dole pri Litiji,Osrednjeslovenska
Kojsko,Primorska
Ankaran,Primorska
Miklavž na Dravskem polju,Štajerska
Podgorica,Osrednjeslovenska
Metlika,Prekmurje
Zgornja Bistrica,Štajerska
Svečina,Štajerska
Telče,Prekmurje
Lokve,Prekmurje
Goričane,Osrednjeslovenska
Rakek,Osrednjeslovenska
Kriška vas,Osrednjeslovenska
Zlatoličje,Štajerska
Grgarske Ravne,Primorska
Orehek,Primorska
Bukovje,Primorska
Most na Soči,Primorska
Dragočajna,Osrednjeslovenska
Spodnja Idrija,Primorska
Otočec,Prekmurje
Rodik,Primorska
Bukovec,Štajerska
Petrovče,Savinjska
Šmarje,Primorska
Idrija,Primorska
Svinjsko,Prekmurje
Podnanos,Primorska
Žabče,Primorska
Smrečje,Osrednjeslovenska
Krnica,Primorska
Šentjanž pri Dravogradu,Štajerska
Šmarje-Sap,Osrednjeslovenska
Črneče,Štajerska
Trnov Hrib,Savinjska
Sv. Ema,Savinjska
Braslovče,Savinjska
Velike Bloke,Osrednjeslovenska
Idrijske Krnice,Primorska
Goričice,Osrednjeslovenska
Bled,Gorenjska
Šmihel,Primorska
Videm,Osrednjeslovenska
Štajngrova,Štajerska
Komenda,Osrednjeslovenska
Žirovski Vrh Sv. Urbana,Gorenjska
Pivola,Štajerska
Robanov Kot,Savinjska
Gorišnica,Štajerska
Dornava,Štajerska
Šentjanž,Prekmurje
Vače,Osrednjeslovenska
Topol pri Medvodah,Osrednjeslovenska
Pristava,Gorenjska
Gornji Grad,Savinjska
Sladki Vrh,Štajerska
Lucija,Primorska
Ribnica,Osrednjeslovenska
Zgornje Poljčane,Štajerska
Bohinjska Bistrica,Gorenjska
Stara Cerkev,Osrednjeslovenska
Stara Loka,Gorenjska
Šmartno pri Slovenj Gradcu,Štajerska
Spodnje Preloge,Savinjska
Podturn pri Dol. Toplicah,Prekmurje
Velike Brusnice,Prekmurje
Laze,Prekmurje
Senožeti,Osrednjeslovenska
Spodnje Dobrenje,Štajerska
Spodnje Poljčane,Štajerska
Dragomelj,Osrednjeslovenska
Draga,Osrednjeslovenska
Spodnja Rečica,Savinjska
Radna,Prekmurje
Topolovec,Primorska
Zgornja Besnica,Gorenjska
Šoštanj,Savinjska
Šmartno,Gorenjska
Vitanje,Savinjska
Vršnik,Štajerska
Ravenska vas,Osrednjeslovenska
Cerklje na Gorenjskem,Gorenjska
Zali Log,Gorenjska
Lož,Osrednjeslovenska
Smlednik,Osrednjeslovenska
Lenart v Slov. goricah,Štajerska
Krn,Primorska
Spodnji Duplek,Štajerska
Kamnik pod Krimom,Osrednjeslovenska
Osek,Primorska
Pohorje,Štajerska
Spodnji Hotič,Osrednjeslovenska
Orle,Osrednjeslovenska
Rečica ob Savinji,Savinjska
Šempeter pri Gorici,Primorska
Pernica,Štajerska
Pacinje,Štajerska
Dobrava pri Konjicah,Savinjska
Smolnik,Štajerska
Polica,Osrednjeslovenska
Jagodje,Primorska
Slovenski Javornik,Gorenjska
Dutovlje,Primorska
Češnjica pri Kropi,Gorenjska
Dobovec,Osrednjeslovenska
Srednje Bitnje,Gorenjska
Mekinje,Osrednjeslovenska
Podgrad,Osrednjeslovenska
Hraše,Osrednjeslovenska
Arto,Prekmurje
Spodnja Polskava,Štajerska
Hrvatini,Primorska
Rogatec,Savinjska
Brode,Savinjska
Šmarjeta,Prekmurje
Boben,Osrednjeslovenska
Trčova,Štajerska
Spodnje Škofije,Primorska
Svibno,Osrednjeslovenska
Podkraj pri Zagorju,Osrednjeslovenska
Križni Vrh,Prekmurje
Sv. Lovrenc,Savinjska
Planina,Primorska
Prebold,Savinjska
Bizeljsko,Prekmurje
Čušperk,Osrednjeslovenska
Podgorje,Štajerska
Preserje pri Radomljah,Osrednjeslovenska
Varpolje,Savinjska
Branik,Primorska
Hrastovec v Slov. goricah,Štajerska
Rakov Škocjan,Osrednjeslovenska
Radomlje,Osrednjeslovenska
Polenci,Štajerska
Hrovača,Osrednjeslovenska
Brje,Primorska
Pomjan,Primorska
Lindek,Savinjska
Kozarišče,Osrednjeslovenska
črni Potok,Osrednjeslovenska
Spodnje Hoče,Štajerska
Gozd Martuljek,Gorenjska
Solčava,Savinjska
Straža,Prekmurje
Zgornje Pirniče,Osrednjeslovenska
Zgornje Bitnje,Gorenjska
Legen,Štajerska
Podlog v Savinjski dolini,Savinjska
Oplotnica,Štajerska
Škofja vas,Savinjska
Skoke,Štajerska
Slivnica pri Mariboru,Štajerska
Brezje pri Šentjerneju,Prekmurje
Spodnji Brnik,Gorenjska
Nova vas pri Mokricah,Prekmurje
Teharje,Savinjska
Lukovica pri Brezovici,Osrednjeslovenska
Podcerkev,Osrednjeslovenska
Zgornje Škofije,Primorska
Golnik,Gorenjska
Veliki Otok,Primorska
Podgozd,Osrednjeslovenska
Čatež ob Savi,Prekmurje
Metulje,Osrednjeslovenska
Brezovska Gora,Prekmurje
Podvinje,Prekmurje
Kidričevo,Štajerska
Portorož,Primorska
Rače,Štajerska
Zgornja Hajdina,Štajerska
Zgornje Laže,Savinjska
Kranjska Gora,Gorenjska
Fala,Štajerska
Potok,Osrednjeslovenska
Loka pri Mengšu,Osrednjeslovenska
Levec,Savinjska
Srednje Jarše,Osrednjeslovenska
Kanji Dol,Primorska
Vinje,Osrednjeslovenska
Vodice,Osrednjeslovenska
Velesovo,Gorenjska
Zgornja Jablanica,Osrednjeslovenska
Tolsti Vrh pri Mislinji,Štajerska
Šentjungert,Savinjska
Selo pri Vodicah,Osrednjeslovenska
Kastelec,Primorska
Laze pri Gobniku,Osrednjeslovenska
Spodnji Slemen,Štajerska
Kropa,Gorenjska
Nova vas nad Dragonjo,Primorska
Kubed,Primorska
Strmec,Savinjska
Dvorjane,Štajerska
